whiteName,blackName,whiteElo,blackElo,played,whiteResult,blackResult
Alexandr Predke,Wesley So,2682,2778,1,0.5,0.5
Alexandr Predke,Maxime Vachier-Lagrave,2682,2758,1,1,0
Alexandr Predke,Sam Shankland,2682,2709,1,0,1
Amin Tabatabaei,Yu Yangyi,2623,2710,1,0.5,0.5
Amin Tabatabaei,Anish Giri,2623,2773,1,0.5,0.5
Amin Tabatabaei,Nikita Vitiugov,2623,2724,1,1,0
Andrey Esipenko,Grigoriy Oparin,2723,2674,1,0.5,0.5
Andrey Esipenko,Hikaru Nakamura,2723,2750,0,0,0
Andrey Esipenko,Levon Aronian,2723,2785,1,0.5,0.5
Anish Giri,Nikita Vitiugov,2773,2724,1,0.5,0.5
Anish Giri,Amin Tabatabaei,2773,2623,0,0,0
Anish Giri,Yu Yangyi,2773,2710,1,0.5,0.5
Daniil Dubov,Vincent Keymer,2711,2655,1,0.5,0.5
Daniil Dubov,Shakhriyar Mamedyarov,2711,2771,0,0,0
Daniil Dubov,Leinier Domínguez,2711,2756,1,0,1
Grigoriy Oparin,Hikaru Nakamura,2674,2750,1,0.5,0.5
Grigoriy Oparin,Levon Aronian,2674,2785,0,0,0
Grigoriy Oparin,Andrey Esipenko,2674,2723,1,1,0
Hikaru Nakamura,Levon Aronian,2750,2785,1,1,0
Hikaru Nakamura,Andrey Esipenko,2750,2723,1,0.5,0.5
Hikaru Nakamura,Grigoriy Oparin,2750,2674,1,1,0
Leinier Domínguez,Daniil Dubov,2756,2711,1,0.5,0.5
Leinier Domínguez,Vincent Keymer,2756,2655,1,0.5,0.5
Leinier Domínguez,Shakhriyar Mamedyarov,2756,2771,1,0.5,0.5
Levon Aronian,Andrey Esipenko,2785,2723,1,1,0
Levon Aronian,Grigoriy Oparin,2785,2674,1,0.5,0.5
Levon Aronian,Hikaru Nakamura,2785,2750,1,1,0
Maxime Vachier-Lagrave,Sam Shankland,2758,2709,1,0.5,0.5
Maxime Vachier-Lagrave,Alexandr Predke,2758,2682,1,1,0
Maxime Vachier-Lagrave,Wesley So,2758,2778,1,0,1
Nikita Vitiugov,Amin Tabatabaei,2724,2623,1,1,0
Nikita Vitiugov,Yu Yangyi,2724,2710,1,0.5,0.5
Nikita Vitiugov,Anish Giri,2724,2773,1,0.5,0.5
Sam Shankland,Alexandr Predke,2709,2682,1,0.5,0.5
Sam Shankland,Wesley So,2709,2778,1,0.5,0.5
Sam Shankland,Maxime Vachier-Lagrave,2709,2758,0,0,0
Shakhriyar Mamedyarov,Leinier Domínguez,2771,2756,1,0.5,0.5
Shakhriyar Mamedyarov,Daniil Dubov,2771,2711,1,0.5,0.5
Shakhriyar Mamedyarov,Vincent Keymer,2771,2655,1,1,0
Vincent Keymer,Shakhriyar Mamedyarov,2655,2771,1,0.5,0.5
Vincent Keymer,Leinier Domínguez,2655,2756,0,0,0
Vincent Keymer,Daniil Dubov,2655,2711,1,1,0
Wesley So,Maxime Vachier-Lagrave,2778,2758,1,0.5,0.5
Wesley So,Sam Shankland,2778,2709,1,0.5,0.5
Wesley So,Alexandr Predke,2778,2682,0,0,0
Yu Yangyi,Anish Giri,2710,2773,1,0.5,0.5
Yu Yangyi,Nikita Vitiugov,2710,2724,0,0,0
Yu Yangyi,Amin Tabatabaei,2710,2623,1,0.5,0.5