Game,White Player,whiteElo,Black Player,blackElo,Moves,ECO,Site,Year,Result,HansWhite,HansResult,HansElo,oppElo,EloDiff,expPoints,residual
162,"Draskovic, L.",2470,"Niemann, Hans Moke",2609,44,A28,Vrnjacka Banja SRB,2021,0.5,0,0.5,2609,2470,139,0.68,-0.18
163,"Niemann, Hans Moke",2609,"Stojanovic, Da",2483,43,E94,Vrnjacka Banja SRB,2021,0.5,1,0.5,2609,2483,126,0.66,-0.16
164,"Budisavljevic, Luka",2509,"Niemann, Hans Moke",2609,59,E46,Vrnjacka Banja SRB,2021,0,0,1,2609,2509,100,0.63,0.37
165,"Niemann, Hans Moke",2609,"Ivic, Velimir",2603,28,E06,Vrnjacka Banja SRB,2021,0.5,1,0.5,2609,2603,6,0.5,0
166,"Bernadskiy, V.",2611,"Niemann, Hans Moke",2609,35,D12,Vrnjacka Banja SRB,2021,1,0,0,2609,2611,-2,0.5,-0.5
167,"Niemann, Hans Moke",2609,"Cabarkapa, N.",2474,37,D02,Vrnjacka Banja SRB,2021,1,1,1,2609,2474,135,0.67,0.33
168,"Indjic, A.",2629,"Niemann, Hans Moke",2609,33,D11,Vrnjacka Banja SRB,2021,0,0,1,2609,2629,-20,0.47,0.53
169,"Bicer, Atakan Mert",2440,"Niemann, Hans Moke",2609,46,B23,Vrnjacka Banja SRB,2021,0,0,1,2609,2440,169,0.71,0.29
170,"Erigaisi, Arjun",2597,"Niemann, Hans Moke",2606,91,C88,Guimaraes POR,2021,0,0,1,2606,2597,9,0.5,0.5
171,"Niemann, Hans Moke",2606,"Vlachos, Anatole",2443,45,E06,Guimaraes POR,2021,1,1,1,2606,2443,163,0.71,0.29
172,"Warmerdam, Max",2562,"Niemann, Hans Moke",2606,76,C65,Guimaraes POR,2021,1,0,0,2606,2562,44,0.55,-0.55
173,"Niemann, Hans Moke",2606,"Yankelevich, L.",2412,46,E97,Guimaraes POR,2021,1,1,1,2606,2412,194,0.74,0.26
174,"Galperin, Platon",2498,"Niemann, Hans Moke",2606,35,E19,Guimaraes POR,2021,0.5,0,0.5,2606,2498,108,0.64,-0.14
175,"Niemann, Hans Moke",2606,"Campora, D.",2401,45,A20,Guimaraes POR,2021,1,1,1,2606,2401,205,0.75,0.25
176,"De Schampheleire, G.",2360,"Niemann, Hans Moke",2606,29,E04,Guimaraes POR,2021,0,0,1,2606,2360,246,0.8,0.2
177,"Niemann, Hans Moke",2606,"Veiga, Jose Francisco R P N",2389,58,E91,Braganca POR,2021,1,1,1,2606,2389,217,0.77,0.23
178,"Garcia Hernandez, Angel",1843,"Niemann, Hans Moke",2606,19,A45,Guimaraes POR,2021,0,0,1,2606,1843,763,0.99,0.01
179,"Beerdsen, Thomas",2454,"Niemann, Hans Moke",2606,75,B11,Braganca POR,2021,0.5,0,0.5,2606,2454,152,0.69,-0.19
180,"Niemann, Hans Moke",2606,"Storme, Isak",2398,38,A20,Braganca POR,2021,1,1,1,2606,2398,208,0.76,0.24
181,"Eugene, Floryan",2368,"Niemann, Hans Moke",2606,51,C55,Braganca POR,2021,0.5,0,0.5,2606,2368,238,0.79,-0.29
182,"Niemann, Hans Moke",2606,"Suarez Gomez, Julio",2449,75,C11,Braganca POR,2021,0.5,1,0.5,2606,2449,157,0.7,-0.2
183,"Niemann, Hans Moke",2606,"Rey Malde, H.",2257,47,E97,Braganca POR,2021,0.5,1,0.5,2606,2257,349,0.88,-0.38
184,"Monteiro, Paulo Alexandre G",1985,"Niemann, Hans Moke",2606,42,E43,Braganca POR,2021,0,0,1,2606,1985,621,0.98,0.02
185,"Niemann, Hans Moke",2606,"Liang, Awonder",2587,38,B12,Cherry Hill USA,2021,1,1,1,2606,2587,19,0.52,0.48
186,"Niemann, Hans Moke",2606,"Rosenthal, Nicholas",2137,30,D30,Cherry Hill USA,2021,1,1,1,2606,2137,469,0.94,0.06
187,"Lenderman, A.",2607,"Niemann, Hans Moke",2606,29,A45,Cherry Hill USA,2021,1,0,0,2606,2607,-1,0.5,-0.5
188,"Hungaski, R.",2514,"Niemann, Hans Moke",2606,41,C58,Cherry Hill USA,2021,0,0,1,2606,2514,92,0.62,0.38
189,"Niemann, Hans Moke",2606,"Gorman, D.",2253,31,A13,Cherry Hill USA,2021,1,1,1,2606,2253,353,0.88,0.12
190,"Dong, Andy",1954,"Niemann, Hans Moke",2606,31,E34,Cherry Hill USA,2021,0,0,1,2606,1954,652,0.98,0.02
191,"Niemann, Hans Moke",2606,"Levin, Eric",,48,D37,Cherry Hill USA,2021,1,1,1,2606,0,2606,0.99,0.01
192,"Ravid, Orren",,"Niemann, Hans Moke",2606,47,A22,Cherry Hill USA,2021,0,0,1,2606,0,2606,0.99,0.01
193,"Niemann, Hans Moke",2571,"Jacobson, Brandon",2504,71,A20,Saint Louis USA,2021,0.5,1,0.5,2571,2504,67,0.58,-0.08
194,"Yoo, Christopher Woojin",2479,"Niemann, Hans Moke",2571,54,D90,Saint Louis USA,2021,1,0,0,2571,2479,92,0.62,-0.62
195,"Niemann, Hans Moke",2571,"Wang, Justin",2467,52,A13,Saint Louis USA,2021,0.5,1,0.5,2571,2467,104,0.63,-0.13
196,"Li, Ben",2376,"Niemann, Hans Moke",2571,34,E12,Saint Louis USA,2021,0,0,1,2571,2376,195,0.74,0.26
197,"Niemann, Hans Moke",2571,"Burke, John M",2538,32,A15,Saint Louis USA,2021,0.5,1,0.5,2571,2538,33,0.54,-0.04
198,"Hong, Andrew",2474,"Niemann, Hans Moke",2571,44,B12,Saint Louis USA,2021,0,0,1,2571,2474,97,0.62,0.38
199,"Niemann, Hans Moke",2571,"Checa, Nicolas",2552,30,C11,Saint Louis USA,2021,1,1,1,2571,2552,19,0.52,0.48
200,"Balakrishnan, Praveen",2507,"Niemann, Hans Moke",2571,50,C85,Saint Louis USA,2021,0,0,1,2571,2507,64,0.58,0.42
201,"Brodsky, David",2455,"Niemann, Hans Moke",2571,42,C55,Saint Louis USA,2021,0.5,0,0.5,2571,2455,116,0.65,-0.15
202,"Niemann, Hans Moke",2571,Zhou Jianchao,2603,48,A80,Philadelphia USA,2021,0.5,1,0.5,2571,2603,-32,0.46,0.04
203,"Nyzhnyk, I.",2683,"Niemann, Hans Moke",2571,66,C85,Philadelphia USA,2021,0.5,0,0.5,2571,2683,-112,0.35,0.15
204,"Burke, John M",2538,"Niemann, Hans Moke",2571,48,C55,Philadelphia USA,2021,0,0,1,2571,2538,33,0.54,0.46
205,"Niemann, Hans Moke",2571,"Gledura, B.",2629,21,D70,Philadelphia USA,2021,1,1,1,2571,2629,-58,0.42,0.58
206,"Niemann, Hans Moke",2571,"Liang, Jason",2352,57,D52,Philadelphia USA,2021,1,1,1,2571,2352,219,0.77,0.23
207,"Sinha, Sahil",2361,"Niemann, Hans Moke",2571,50,E35,Philadelphia USA,2021,0,0,1,2571,2361,210,0.76,0.24
208,"Niemann, Hans Moke",2571,"Shlyakhtenko, Robert",2370,29,D32,Philadelphia USA,2021,0.5,1,0.5,2571,2370,201,0.75,-0.25
209,"Morrison, W.",2278,"Niemann, Hans Moke",2571,43,B92,Philadelphia USA,2021,0,0,1,2571,2278,293,0.84,0.16
210,"Niemann, Hans Moke",2571,"Mahajan, Rushaan",2151,20,E47,Philadelphia USA,2021,1,1,1,2571,2151,420,0.92,0.08
211,"Niemann, Hans Moke",2567,"Cordova, E.",2590,58,E53,Philadelphia USA,2021,1,1,1,2567,2590,-23,0.47,0.53
212,"Guo, Arthur",2359,"Niemann, Hans Moke",2567,48,C77,Philadelphia USA,2021,0,0,1,2567,2359,208,0.76,0.24
213,"Niemann, Hans Moke",2567,"Andriasian, Z.",2581,56,D17,Philadelphia USA,2021,0.5,1,0.5,2567,2581,-14,0.48,0.02
214,"Niemann, Hans Moke",2567,"Belous, V.",2520,64,B36,Philadelphia USA,2021,0,1,0,2567,2520,47,0.56,-0.56
215,"Jacobson, Brandon",2491,"Niemann, Hans Moke",2567,33,A06,Philadelphia USA,2021,0,0,1,2567,2491,76,0.6,0.4
216,"Niemann, Hans Moke",2567,"Asaria, Danial",2318,34,D30,Philadelphia USA,2021,1,1,1,2567,2318,249,0.8,0.2
217,"Bartell, T.",2363,"Niemann, Hans Moke",2567,38,A23,Philadelphia USA,2021,0.5,0,0.5,2567,2363,204,0.75,-0.25
218,"Niemann, Hans Moke",2567,"Tian, Eddy",2204,31,D30,Philadelphia USA,2021,1,1,1,2567,2204,363,0.89,0.11
219,"Katz, Alexander",2398,"Niemann, Hans Moke",2567,34,C55,Las Vegas USA,2021,0,0,1,2567,2398,169,0.71,0.29
220,"Niemann, Hans Moke",2567,"Nyzhnyk, Illya",2679,30,E73,Las Vegas,2021,0,1,0,2567,2679,-112,0.35,-0.35
221,"Niemann, Hans Moke",2567,"Guo, Arthur",2359,30,E06,Las Vegas USA,2021,0,1,0,2567,2359,208,0.76,-0.76
222,"Hakobyan, Aram",2598,"Niemann, Hans Moke",2567,43,D30,Las Vegas USA,2021,0.5,0,0.5,2567,2598,-31,0.46,0.04
223,"Niemann, Hans Moke",2567,"Shetty, A.",2461,49,D43,Las Vegas USA,2021,1,1,1,2567,2461,106,0.64,0.36
224,"Ostrovskiy, Al",2422,"Niemann, Hans Moke",2567,48,A13,Las Vegas USA,2021,0,0,1,2567,2422,145,0.69,0.31
225,"Niemann, Hans Moke",2567,"Wang, Justin",2447,73,E52,Las Vegas USA,2021,0.5,1,0.5,2567,2447,120,0.65,-0.15
226,"Colas, Joshua",2315,"Niemann, Hans Moke",2567,47,B14,Las Vegas USA,2021,0,0,1,2567,2315,252,0.8,0.2
227,"Niemann, Hans Moke",2567,"Oberoi, Shelev",2198,34,E73,Las Vegas USA,2021,1,1,1,2567,2198,369,0.89,0.11
228,"Sukovic, Andrej",2283,"Niemann, Hans Moke",2508,40,C60,Podgorica MNE,2021,0,0,1,2508,2283,225,0.78,0.22
229,"Niemann, Hans Moke",2508,"Osmak, Iulija",2428,67,D20,Podgorica MNE,2021,1,1,1,2508,2428,80,0.6,0.4
230,"Bogosavljevic, B.",2523,"Niemann, Hans Moke",2508,49,A15,Podgorica MNE,2021,1,0,0,2508,2523,-15,0.48,-0.48
231,"Niemann, Hans Moke",2508,"Nikac, P.",2318,30,A80,Podgorica MNE,2021,1,1,1,2508,2318,190,0.74,0.26
232,"Draskovic, L.",2472,"Niemann, Hans Moke",2508,59,A36,Podgorica MNE,2021,0,0,1,2508,2472,36,0.54,0.46
233,"Niemann, Hans Moke",2508,"Suleymanli, Aydin",2520,44,B11,Podgorica MNE,2021,0.5,1,0.5,2508,2520,-12,0.48,0.02
234,"Travadon, Loic",2414,"Niemann, Hans Moke",2508,63,E46,Podgorica MNE,2021,0,0,1,2508,2414,94,0.62,0.38
235,"Niemann, Hans Moke",2508,"Sanal, V.",2572,39,E60,Podgorica MNE,2021,1,1,1,2508,2572,-64,0.41,0.59
236,"Girel, Joseph",2310,"Niemann, Hans Moke",2508,53,C77,Podgorica MNE,2021,0,0,1,2508,2310,198,0.75,0.25
237,"Djukic, Ni",2515,"Niemann, Hans Moke",2508,20,C67,Niksic MNE,2021,0.5,0,0.5,2508,2515,-7,0.49,0.01
238,"Draskovic, L.",2472,"Niemann, Hans Moke",2508,40,A23,Niksic MNE,2021,0.5,0,0.5,2508,2472,36,0.54,-0.04
239,"Niemann, Hans Moke",2508,"Kisic, B.",2263,56,D32,Niksic MNE,2021,1,1,1,2508,2263,245,0.8,0.2
240,"Suleymanli, Aydin",2520,"Niemann, Hans Moke",2508,70,D31,Niksic MNE,2021,0.5,0,0.5,2508,2520,-12,0.48,0.02
241,"Niemann, Hans Moke",2508,"Sanal, V.",2572,40,A40,Niksic MNE,2021,1,1,1,2508,2572,-64,0.41,0.59
242,"Bogosavljevic, B.",2523,"Niemann, Hans Moke",2508,75,A08,Niksic MNE,2021,0.5,0,0.5,2508,2523,-15,0.48,0.02
243,"Niemann, Hans Moke",2508,"Nikcevic, N.",2393,40,D30,Niksic MNE,2021,1,1,1,2508,2393,115,0.65,0.35
244,"Niemann, Hans Moke",2508,"Potpara, N.",2370,59,E40,Niksic MNE,2021,0.5,1,0.5,2508,2370,138,0.68,-0.18
245,"Nikac, P.",2318,"Niemann, Hans Moke",2508,51,C55,Niksic MNE,2021,0.5,0,0.5,2508,2318,190,0.74,-0.24
246,"Gharibyan, Mamikon",2455,"Niemann, Hans Moke",2508,50,E17,Novi Sad SRB,2021,0,0,1,2508,2455,53,0.57,0.43
247,"Niemann, Hans Moke",2508,"Cvitan, Ena",2263,31,C02,Novi Sad SRB,2021,1,1,1,2508,2263,245,0.8,0.2
248,"Niemann, Hans Moke",2508,"Nikitenko, M.",2477,64,D17,Novi Sad SRB,2021,1,1,1,2508,2477,31,0.53,0.47
249,"Dardha, Daniel",2516,"Niemann, Hans Moke",2508,26,A20,Novi Sad SRB,2021,0.5,0,0.5,2508,2516,-8,0.49,0.01
250,"Niemann, Hans Moke",2508,"Davtyan, Artur",2457,36,E04,Novi Sad SRB,2021,1,1,1,2508,2457,51,0.56,0.44
251,"Peycheva, Gergana",2229,"Niemann, Hans Moke",2508,39,E35,Novi Sad SRB,2021,0,0,1,2508,2229,279,0.83,0.17
252,"Niemann, Hans Moke",2508,"Omorjan, Dejan",2329,34,A15,Novi Sad SRB,2021,1,1,1,2508,2329,179,0.73,0.27
253,"Gharibyan, Mamikon",2455,"Niemann, Hans Moke",2508,85,D38,Novi Sad SRB,2021,0.5,0,0.5,2508,2455,53,0.57,-0.07
254,"Niemann, Hans Moke",2508,"Fernandez, Dani",2465,40,E11,Novi Sad SRB,2021,0.5,1,0.5,2508,2465,43,0.55,-0.05
255,"Drazic, S.",2366,"Niemann, Hans Moke",2508,36,B51,Novi Sad SRB,2021,0,0,1,2508,2366,142,0.68,0.32
256,"Niemann, Hans Moke",2508,"Popchev, M.",2229,24,A80,Novi Sad SRB,2021,1,1,1,2508,2229,279,0.83,0.17
257,"Shetty, A.",2453,"Niemann, Hans Moke",2508,40,A11,Bassano del Grappa ITA,2021,1,0,0,2508,2453,55,0.57,-0.57
258,"Niemann, Hans Moke",2508,"Bjerre, Jonas Buhl",2550,58,E04,Bassano del Grappa ITA,2021,0.5,1,0.5,2508,2550,-42,0.44,0.06
259,"Niemann, Hans Moke",2508,"Yu, Jennifer",2255,28,A21,Bassano del Grappa ITA,2021,1,1,1,2508,2255,253,0.8,0.2
260,"Dragnev, Valentin",2559,"Niemann, Hans Moke",2508,51,C89,Bassano del Grappa ITA,2021,0.5,0,0.5,2508,2559,-51,0.43,0.07
261,"Niemann, Hans Moke",2508,"Bernadskiy, V.",2603,62,E92,Bassano del Grappa ITA,2021,0.5,1,0.5,2508,2603,-95,0.37,0.13
262,"Basso, Pier Luigi",2552,"Niemann, Hans Moke",2508,12,D14,Bassano del Grappa ITA,2021,0.5,0,0.5,2508,2552,-44,0.44,0.06
263,"Checa, Nicolas",2562,"Niemann, Hans Moke",2508,29,D38,Bassano del Grappa ITA,2021,0,0,1,2508,2562,-54,0.42,0.58
264,"Niemann, Hans Moke",2508,"Brinovec, David",2262,68,C65,Bassano del Grappa ITA,2021,1,1,1,2508,2262,246,0.8,0.2
265,"Mameli, G.",2066,"Niemann, Hans Moke",2508,29,C28,Bassano del Grappa ITA,2021,0,0,1,2508,2066,442,0.93,0.07
266,"Niemann, Hans Moke",2526,"Di Benedetto, Edoardo",2400,59,A45,Bassano del Grappa ITA,2021,0,1,0,2526,2400,126,0.66,-0.66
267,"Moroni, L.",2552,"Niemann, Hans Moke",2526,37,D43,Bassano del Grappa ITA,2021,1,0,0,2526,2552,-26,0.46,-0.46
268,"Niemann, Hans Moke",2526,"Sonis, Francesco",2477,66,E10,Bassano del Grappa ITA,2021,0.5,1,0.5,2526,2477,49,0.56,-0.06
269,"Diermair, A.",2487,"Niemann, Hans Moke",2526,60,A46,Bassano del Grappa ITA,2021,0,0,1,2526,2487,39,0.55,0.45
270,"Niemann, Hans Moke",2526,"Deuer, Marius",2231,28,C95,Bassano del Grappa ITA,2021,1,1,1,2526,2231,295,0.84,0.16
271,"Schreiner, Pe",2445,"Niemann, Hans Moke",2526,53,E00,Bassano del Grappa ITA,2021,1,0,0,2526,2445,81,0.6,-0.6
272,"Niemann, Hans Moke",2526,"Bernadskiy, V.",2599,40,A31,Bassano del Grappa ITA,2021,0,1,0,2526,2599,-73,0.4,-0.4
273,"Martin Duque, J.",2454,"Niemann, Hans Moke",2526,34,A06,Bassano del Grappa ITA,2021,0,0,1,2526,2454,72,0.59,0.41
274,"Niemann, Hans Moke",2526,"Pasini, Nicolo",2220,30,A56,Bassano del Grappa ITA,2021,1,1,1,2526,2220,306,0.85,0.15
275,"Niemann, Hans Moke",2525,"Kotronias, V.",2522,12,E73,Belgrade SRB,2021,1,1,1,2525,2522,3,0.5,0.5
276,"Rakotomaharo, Fy Antenaina",2422,"Niemann, Hans Moke",2525,16,E46,Belgrade SRB,2021,0,0,1,2525,2422,103,0.63,0.37
277,"Niemann, Hans Moke",2525,"Travadon, Loic",2413,8,A15,Belgrade SRB,2021,0,1,0,2525,2413,112,0.64,-0.64
278,"Utegaliyev, A.",2488,"Niemann, Hans Moke",2525,31,B24,Belgrade SRB,2021,0.5,0,0.5,2525,2488,37,0.54,-0.04
279,"Thybo, Jesper Sondergaard",2569,"Niemann, Hans Moke",2525,18,E00,Belgrade SRB,2021,0.5,0,0.5,2525,2569,-44,0.44,0.06
280,"Niemann, Hans Moke",2525,"Pranav, Anand",2381,66,D41,Belgrade SRB,2021,0.5,1,0.5,2525,2381,144,0.68,-0.18
281,"Mohammad, Nubairshah Shaikh",2445,"Niemann, Hans Moke",2525,36,E46,Belgrade SRB,2021,0.5,0,0.5,2525,2445,80,0.6,-0.1
282,"Niemann, Hans Moke",2525,"Yankelevich, L.",2416,57,E06,Belgrade SRB,2021,0.5,1,0.5,2525,2416,109,0.64,-0.14
283,"Niemann, Hans Moke",2525,"Nikitenko, M.",2452,63,D17,Novi Sad SRB,2021,0,1,0,2525,2452,73,0.59,-0.59
284,"Potpara, N.",2378,"Niemann, Hans Moke",2525,23,A20,Belgrade SRB,2021,0,0,1,2525,2378,147,0.69,0.31
285,"Kaasen, Tor Fredrik",2381,"Niemann, Hans Moke",2525,25,B01,Novi Sad SRB,2021,1,0,0,2525,2381,144,0.68,-0.68
286,"Niemann, Hans Moke",2525,"Petrov, N.",2570,35,E10,Novi Sad SRB,2021,0,1,0,2525,2570,-45,0.44,-0.44
287,"Niemann, Hans Moke",2525,"Haldorsen, Benjamin",2458,62,B06,Novi Sad SRB,2021,0,1,0,2525,2458,67,0.58,-0.58
288,"Sedlak, N.",2542,"Niemann, Hans Moke",2525,51,C44,Novi Sad SRB,2021,0,0,1,2525,2542,-17,0.48,0.52
289,"Niemann, Hans Moke",2525,"Bryakin, M.",2434,87,E54,Novi Sad SRB,2021,0.5,1,0.5,2525,2434,91,0.62,-0.12
290,"Czebe, A.",2367,"Niemann, Hans Moke",2525,37,A06,Novi Sad SRB,2021,0,0,1,2525,2367,158,0.7,0.3
291,"Niemann, Hans Moke",2525,"Lajthajm, B.",2412,38,E33,Novi Sad SRB,2021,1,1,1,2525,2412,113,0.65,0.35
292,"Milosevic, Milos",2322,"Niemann, Hans Moke",2525,37,C24,Novi Sad SRB,2021,0,0,1,2525,2322,203,0.75,0.25
293,"Moksh, Amit Doshi",2332,"Niemann, Hans Moke",2525,48,D37,Paracin SRB,2021,0,0,1,2525,2332,193,0.74,0.26
294,"Niemann, Hans Moke",2525,"Atalik, S.",2504,24,E60,Paracin SRB,2021,1,1,1,2525,2504,21,0.52,0.48
295,"Kosic, D.",2443,"Niemann, Hans Moke",2525,41,D37,Paracin SRB,2021,0.5,0,0.5,2525,2443,82,0.6,-0.1
296,"Niemann, Hans Moke",2525,"Dudin, Gleb",2380,64,A15,Paracin SRB,2021,0,1,0,2525,2380,145,0.69,-0.69
297,"Ratkovic, Milov",2433,"Niemann, Hans Moke",2525,64,A45,Paracin SRB,2021,0.5,0,0.5,2525,2433,92,0.62,-0.12
298,"Niemann, Hans Moke",2525,"Mijatovic, Dusan",2295,32,E42,Paracin SRB,2021,1,1,1,2525,2295,230,0.78,0.22
299,"Injac, Teodora",2314,"Niemann, Hans Moke",2525,45,D38,Paracin SRB,2021,0,0,1,2525,2314,211,0.76,0.24
300,"Niemann, Hans Moke",2525,"Shahil, Dey",2376,34,B52,Paracin SRB,2021,0,1,0,2525,2376,149,0.69,-0.69
301,"Niemann, Hans Moke",2525,"Vetokhin, Savva",2309,30,E32,Paracin SRB,2021,1,1,1,2525,2309,216,0.77,0.23
302,"Kosic, D.",2443,"Niemann, Hans Moke",2484,81,D37,Paracin SRB,2021,1,0,0,2484,2443,41,0.55,-0.55
303,"Niemann, Hans Moke",2484,"Abramovic, B.",2335,16,D37,Paracin SRB,2021,1,1,1,2484,2335,149,0.69,0.31
304,"Niemann, Hans Moke",2484,"Stankovic, Milo",2442,52,E06,Paracin SRB,2021,1,1,1,2484,2442,42,0.55,0.45
305,"Potpara, N.",2378,"Niemann, Hans Moke",2484,59,A13,Paracin SRB,2021,1,0,0,2484,2378,106,0.64,-0.64
306,"Niemann, Hans Moke",2484,"Durak, Can",2187,32,D37,Paracin SRB,2021,1,1,1,2484,2187,297,0.84,0.16
307,"Ratkovic, Milov",2433,"Niemann, Hans Moke",2484,71,E30,Paracin SRB,2021,0,0,1,2484,2433,51,0.56,0.44
308,"Niemann, Hans Moke",2484,"Dudin, Gleb",2380,32,E04,Paracin SRB,2021,1,1,1,2484,2380,104,0.63,0.37
309,"Atalik, S.",2504,"Niemann, Hans Moke",2484,48,D30,Paracin SRB,2021,0,0,1,2484,2504,-20,0.47,0.53
310,"Niemann, Hans Moke",2484,"Vetokhin, Savva",2309,27,E52,Paracin SRB,2021,1,1,1,2484,2309,175,0.72,0.28
311,"Niemann, Hans Moke",2484,"Warmerdam, Max",2506,23,E75,Villorba ITA,2021,0.5,1,0.5,2484,2506,-22,0.47,0.03
312,"Bjerre, Jonas Buhl",2552,"Niemann, Hans Moke",2484,26,E18,Villorba ITA,2021,0.5,0,0.5,2484,2552,-68,0.41,0.09
313,"Niemann, Hans Moke",2484,"Bernadskiy, V.",2619,49,A40,Villorba ITA,2021,1,1,1,2484,2619,-135,0.32,0.68
314,"Niemann, Hans Moke",2484,"Moroni, L.",2560,53,B06,Villorba ITA,2021,0.5,1,0.5,2484,2560,-76,0.4,0.1
315,"Bellahcene, B.",2510,"Niemann, Hans Moke",2484,31,C67,Villorba ITA,2021,0.5,0,0.5,2484,2510,-26,0.46,0.04
316,"Dardha, Daniel",2485,"Niemann, Hans Moke",2484,53,A46,Villorba ITA,2021,0.5,0,0.5,2484,2485,-1,0.5,0
317,"Niemann, Hans Moke",2484,"Checa, Nicolas",2527,38,D15,Villorba ITA,2021,1,1,1,2484,2527,-43,0.44,0.56